GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
happycows,edu.ucsb.cs156.happiercows.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
happycows,edu.ucsb.cs156.happiercows.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
happycows,edu.ucsb.cs156.happiercows.services,CommonsPlusBuilderService,0,65,0,0,0,13,0,4,0,4
happycows,edu.ucsb.cs156.happiercows.services,ReportService,0,152,0,2,0,39,0,6,0,5
happycows,edu.ucsb.cs156.happiercows.services,SystemInfoServiceImpl,0,33,0,0,0,11,0,3,0,3
happycows,edu.ucsb.cs156.happiercows.services,CommonStatsService,0,56,0,0,0,14,0,4,0,4
happycows,edu.ucsb.cs156.happiercows.services,GrantedAuthoritiesService,0,21,0,0,0,7,0,3,0,3
happycows,edu.ucsb.cs156.happiercows.services,AverageCowHealthService,0,102,0,4,0,15,0,7,0,5
happycows,edu.ucsb.cs156.happiercows.advice,HappierCowsControllerAdvice,0,11,0,0,0,4,0,3,0,3
happycows,edu.ucsb.cs156.happiercows.strategies,CowHealthUpdateStrategies.new CowHealthUpdateStrategies() {...},0,10,0,0,0,2,0,2,0,2
happycows,edu.ucsb.cs156.happiercows.strategies,CowHealthUpdateStrategies.new CowHealthUpdateStrategies() {...},0,20,0,0,0,2,0,2,0,2
happycows,edu.ucsb.cs156.happiercows.strategies,CowHealthUpdateStrategies.new CowHealthUpdateStrategies() {...},0,25,0,2,0,4,0,3,0,2
happycows,edu.ucsb.cs156.happiercows.strategies,CowHealthUpdateStrategies,0,31,0,0,0,6,0,1,0,1
happycows,edu.ucsb.cs156.happiercows.models,HealthUpdateStrategyList,0,29,0,0,0,12,0,2,0,2
happycows,edu.ucsb.cs156.happiercows.helpers,CommonStatsCSVHelper,0,108,0,2,0,21,0,3,0,2
happycows,edu.ucsb.cs156.happiercows.helpers,ReportCSVHelper,0,167,0,2,0,27,0,3,0,2
happycows,edu.ucsb.cs156.happiercows.services.jobs,JobContext,0,48,0,4,0,7,0,4,0,2
happycows,edu.ucsb.cs156.happiercows.services.jobs,JobService,0,55,0,0,0,19,0,3,0,3
happycows,edu.ucsb.cs156.happiercows.jobs,TestJob,0,31,0,4,0,10,0,3,0,1
happycows,edu.ucsb.cs156.happiercows.jobs,InstructorReportJobSingleCommonsFactory,0,10,0,0,0,2,0,2,0,2
happycows,edu.ucsb.cs156.happiercows.jobs,SetCowHealthJobFactory,0,30,0,0,0,5,0,3,0,3
happycows,edu.ucsb.cs156.happiercows.jobs,InstructorReportJobSingleCommons,0,30,0,0,0,4,0,1,0,1
happycows,edu.ucsb.cs156.happiercows.jobs,SetCowHealthJob,0,85,0,4,0,16,0,3,0,1
happycows,edu.ucsb.cs156.happiercows.jobs,MilkTheCowsJobFactoryInd,0,17,0,0,0,3,0,2,0,2
happycows,edu.ucsb.cs156.happiercows.jobs,MilkTheCowsJob,0,147,0,4,0,38,0,6,0,4
happycows,edu.ucsb.cs156.happiercows.jobs,RecordCommonStatsJobFactory,0,11,0,0,0,2,0,2,0,2
happycows,edu.ucsb.cs156.happiercows.jobs,UpdateCowHealthJob,0,203,0,12,0,38,0,12,0,6
happycows,edu.ucsb.cs156.happiercows.jobs,RecordCommonStatsJob,0,69,0,2,0,10,0,2,0,1
happycows,edu.ucsb.cs156.happiercows.jobs,MilkTheCowsJobFactory,0,15,0,0,0,2,0,2,0,2
happycows,edu.ucsb.cs156.happiercows.jobs,ScheduledJobs,0,55,0,0,0,17,0,5,0,5
happycows,edu.ucsb.cs156.happiercows.jobs,UpdateCowHealthJobFactoryInd,0,30,0,0,0,5,0,3,0,3
happycows,edu.ucsb.cs156.happiercows.jobs,InstructorReportJobFactory,0,11,0,0,0,2,0,2,0,2
happycows,edu.ucsb.cs156.happiercows.jobs,MilkTheCowsJobInd,0,83,0,4,0,16,0,4,0,2
happycows,edu.ucsb.cs156.happiercows.jobs,UpdateCowHealthJobFactory,0,29,0,0,0,5,0,3,0,3
happycows,edu.ucsb.cs156.happiercows.jobs,InstructorReportJob,0,69,0,2,0,10,0,2,0,1
happycows,edu.ucsb.cs156.happiercows.jobs,UpdateCowHealthJobInd,0,47,0,2,0,10,0,2,0,1
happycows,edu.ucsb.cs156.happiercows.errors,NotEnoughMoneyException,0,4,0,0,0,2,0,1,0,1
happycows,edu.ucsb.cs156.happiercows.errors,NoCowsException,0,4,0,0,0,2,0,1,0,1
happycows,edu.ucsb.cs156.happiercows.errors,EntityNotFoundException,0,47,0,0,0,8,0,2,0,2
happycows,edu.ucsb.cs156.happiercows.entities,CommonsPlus,0,12,0,0,0,1,0,1,0,1
happycows,edu.ucsb.cs156.happiercows.entities,UserCommons,0,15,0,0,0,5,0,4,0,4
happycows,edu.ucsb.cs156.happiercows.entities,Commons,0,16,0,4,0,4,0,3,0,1
happycows,edu.ucsb.cs156.happiercows.entities,User,0,16,0,0,0,1,0,1,0,1
happycows,edu.ucsb.cs156.happiercows.controllers,UserCommonsController,0,259,0,4,0,46,0,14,0,12
happycows,edu.ucsb.cs156.happiercows.controllers,CommonsController,0,596,0,38,0,136,0,37,0,18
happycows,edu.ucsb.cs156.happiercows.controllers,ChatMessageController,0,282,0,22,0,59,0,22,0,11
happycows,edu.ucsb.cs156.happiercows.controllers,JobsController,0,146,0,8,0,30,0,16,0,12
happycows,edu.ucsb.cs156.happiercows.controllers,ProfitsController,0,136,0,0,0,22,0,7,0,7
happycows,edu.ucsb.cs156.happiercows.controllers,UserInfoController,0,24,0,0,0,7,0,3,0,3
happycows,edu.ucsb.cs156.happiercows.controllers,ApiController,0,29,0,0,0,9,0,5,0,5
happycows,edu.ucsb.cs156.happiercows.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
happycows,edu.ucsb.cs156.happiercows.controllers,AnnouncementsController,0,294,0,34,0,72,0,27,0,10
happycows,edu.ucsb.cs156.happiercows.controllers,CommonStatsController,0,85,0,0,0,17,0,5,0,5
happycows,edu.ucsb.cs156.happiercows.controllers,UsersController,0,16,0,0,0,4,0,2,0,2
happycows,edu.ucsb.cs156.happiercows.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
happycows,edu.ucsb.cs156.happiercows.controllers,ReportsController,0,81,0,0,0,18,0,6,0,6
